Concept	Weighting
LENC_1	38385650
LENC_2	35915272
LENC_3	21604729
LENC_4	17558412
LENC_5	13641850
LENC_6	10000000
LENC_7	10000000
LENC_8	10000000
LENC_9	10000000
LENC_10	10000000
LENC_11	8017964
LENC_12	7236471
LENC_13	5277500
LENC_14	5228209
LENC_15	5173648
LENC_16	5059700
LENC_17	3993383
LENC_18	3246193
LENC_19	2608782
LENC_20	2405220
LENC_21	1955550
LENC_22	1682504
LENC_23	1674589
LENC_24	1627645
LENC_25	1626481
LENC_26	1602867
LENC_27	1102309
LENC_28	966900
LENC_29	962858
LENC_30	894378
LENC_31	721101
LENC_32	686194
LENC_33	672409
LENC_34	620216
LENC_35	605288
LENC_36	551428
LENC_37	538737
LENC_38	501767
LENC_39	460090
LENC_40	454563
LENC_41	453436
LENC_42	410899
LENC_43	344850
LENC_44	339951
LENC_45	326200
LENC_46	285877
LENC_47	267065
LENC_48	253464
LENC_49	249832
LENC_50	245548
LENC_51	239434
LENC_52	237147
LENC_53	199631
LENC_54	197868
LENC_55	189100
LENC_56	187925
LENC_57	176369
LENC_58	172551
LENC_59	165120
LENC_60	160831
LENC_61	148007
LENC_62	146362
LENC_63	143431
LENC_64	141295
LENC_65	135206
LENC_66	124896
LENC_67	124385
LENC_68	120760
LENC_69	116884
LENC_70	116146
LENC_71	113972
LENC_72	111809
LENC_73	107266
LENC_74	103967
LENC_75	103501
LENC_76	102621
LENC_77	98348
LENC_78	97673
LENC_79	97002
LENC_80	96338
LENC_81	91570
LENC_82	88356
LENC_83	87459
LENC_84	86414
LENC_85	85638
LENC_86	81186
LENC_87	78269
LENC_88	74739
LENC_89	71207
LENC_90	66344
LENC_91	65078
LENC_92	63500
LENC_93	62779
LENC_94	62384
LENC_95	62282
LENC_96	61736
LENC_97	61269
LENC_98	60645
LENC_99	53564
LENC_100	51757
LENC_101	50309
LENC_102	50000
LENC_103	50000
LENC_104	50000
LENC_105	50000
LENC_106	50000
LENC_107	50000
LENC_108	50000
LENC_109	50000
LENC_110	50000
LENC_111	50000
LENC_112	50000
LENC_113	50000
LENC_114	50000
LENC_115	50000
LENC_116	50000
LENC_117	50000
LENC_118	50000
LENC_119	50000
LENC_120	50000
LENC_121	50000
LENC_122	50000
LENC_123	50000
LENC_124	50000
LENC_125	50000
LENC_126	50000
LENC_127	50000
LENC_128	50000
LENC_129	50000
LENC_130	50000
LENC_131	50000
LENC_132	50000
LENC_133	50000
LENC_134	50000
LENC_135	50000
LENC_136	50000
LENC_137	50000
LENC_138	50000
LENC_139	50000
LENC_140	50000
LENC_141	50000
LENC_142	50000
LENC_143	50000
LENC_144	50000
LENC_145	50000
LENC_146	50000
LENC_147	50000
LENC_148	50000
LENC_149	50000
LENC_150	50000
LENC_151	50000
LENC_152	50000
LENC_153	49119
LENC_154	48642
LENC_155	48625
LENC_156	46882
LENC_157	44590
LENC_158	43800
