data model	class	prop/relation	attribute	range	min	max	Inverse
:DM_DataModel	:DM_Patient	Relationship	:RM_hasDataController	:DM_Organisation	1	1	:RM_isDataControllerOf
:DM_DataModel	:DM_HealthEvent	Relationship	:RM_hasDataController	:DM_Organisation	1	1	:RM_isDataControllerOf
:DM_DataModel	:DM_EncounterEntry	Property	:DM_isRecordOf	:DM_Encounter	1	1	
:DM_DataModel	:DM_AandEEncounterEntry	Property	:DM_aAndEDepartmentType	:CM_AccidentAndEmergencySetting	1	1	
:DM_DataModel	:DM_AandEEncounterEntry	Property	:DM_aeAttendanceCategory	:CM_AEAttendanceCat	1	1	
:DM_DataModel	:DM_AandEEncounterEntry	Property	:DM_aeAttendanceSource	:SN_999002991000000109	1	1	
:DM_DataModel	:DM_AandEEncounterEntry	Property	:DM_arrivalMode	:SN_999002981000000107	1	1	
:DM_DataModel	:DM_AandEEncounterEntry	Property	:DM_isRecordOf	:CM_AandEAttendance	1	1	
:DM_DataModel	:DM_AandEEncounterEntry	Property	:DM_treatmentFunctionAdmit	:SN_224930009	1	1	
:DM_DataModel	:DM_CriticalCareEntry	Property	:DM_hasCriticalCareUnitFunction	:CM_CriticalCareUnit	1	1	
:DM_DataModel	:DM_CriticalCareEntry	Property	:DM_isRecordOf	:CM_CriticalCareEncounter	1	1	
:DM_DataModel	:DM_CriticalCareEntry	Property	:DM_sourceOfAdmission	:CM_CriticalCareAdmissionSource	1	1	
:DM_DataModel	:DM_HospitalAdmitEntry	Property	:DM_adminCategoryonAdmission	:CM_AdminCategory	1	1	
:DM_DataModel	:DM_HospitalAdmitEntry	Property	:DM_admissionPatientClassification	:CM_AdmissionPatientClass	1	1	
:DM_DataModel	:DM_HospitalAdmitEntry	Property	:DM_isRecordOf	:CM_HospitalAdmissionEncounter	1	1	
:DM_DataModel	:DM_HospitalAdmitEntry	Property	:DM_methodOfAdmssion	:CM_AdmissionMethod	1	1	
:DM_DataModel	:DM_HospitalAdmitEntry	Property	:DM_sourceOfAdmission	:CM_AdmissionSource	1	1	
:DM_DataModel	:DM_HospitalAdmitEntry	Relationship	:RM_isComponentOf	:DM_HospitalInpEntry	1	1	:RM_hasComponent
:DM_DataModel	:DM_HospitalDischEntry	Property	:DM_hasDischargeDestination	:CM_DisDest0	1	1	
:DM_DataModel	:DM_HospitalDischEntry	Property	:DM_hasDischargeMethod	:CM_DisMethod0	1	1	
:DM_DataModel	:DM_HospitalDischEntry	Property	:DM_isRecordOf	:CM_HospitalDischargeEncounter	1	1	
:DM_DataModel	:DM_HospitalDischEntry	Relationship	:RM_isComponentOf	:DM_HospitalInpEntry	1	1	:RM_hasComponent
:DM_DataModel	:DM_HospitalInpEntry	Property	:DM_administrativePaymentCategory	:CM_AdminCategory	1	1	
:DM_DataModel	:DM_HospitalInpEntry	Property	:DM_isRecordOf	:CM_HospitalInpEncounter	1	1	
:DM_DataModel	:DM_HospitalInpEntry	Property	:DM_treatmentSpecialty	:SN_224930009	1	1	
:DM_DataModel	:DM_HospitalOpdEntry	Property	:DM_attendanceStatus	:CM_AEAttNotAtt0	1	1	
:DM_DataModel	:DM_HospitalOpdEntry	Property	:DM_hasAttendanceOutcome	:CM_AttOutcome0	1	1	
:DM_DataModel	:DM_HospitalOpdEntry	Property	:DM_isRecordOf	:CM_HospOpdEncounter	1	1	
:DM_DataModel	:DM_HospitalOpdEntry	Property	:DM_treatmentSpecialty	:SN_224930009	1	1	
:DM_DataModel	:DM_ObservationEntry	Property	:DM_isRecordOf	:CM_ObservationType	1	1	
:DM_DataModel	:DM_ObservationEntry	Property	:DM_isUnderHeadingOf	:DM_RecordSection		1	
:DM_DataModel	:DM_Provenance	Relationship	:RM_hasDataController	:DM_Organisation	1	1	:RM_isDataControllerOf
:DM_DataModel	:DM_ProvenanceActivity	Property	:DM_isRecordOf	:CM_ProvenanceActivity	1	1	
:DM_DataModel	:DM_ProvenanceEntity	Property	:DM_isRecordOf	:CM_ProvenanceEntity	1	1	
:DM_DataModel	:DM_RecordSection	Property	:DM_hasHeading	:CM_Heading		1	
:DM_DataModel	:DM_RecordSection	Relationship	:RM_partOfEncounter	:DM_EncounterEntry	1	1	
