Concept	Group	Property	Object	min	max	Group operator
:BartCernerCode	0	:SN_116680003	:CM_CodeScheme			and
:CM_AEAttCat1	0	:SN_116680003	:CM_AEAttendanceCat			and
:CM_AEAttCat2	0	:SN_116680003	:CM_AEAttendanceCat			and
:CM_AEAttCat3	0	:SN_116680003	:CM_AEAttendanceCat			and
:CM_AEAttNotAtt0	0	:SN_116680003	:CM_CareAdministration			and
:CM_AEAttendanceCat	0	:SN_116680003	:CM_CareAdministration			and
:CM_AEDepType1	0	:SN_116680003	:CM_AccidentAndEmergencySetting			and
:CM_AEDepType2	0	:SN_116680003	:CM_AccidentAndEmergencySetting			and
:CM_AEDepType3	0	:SN_116680003	:CM_AccidentAndEmergencySetting			and
:CM_AEDepType4	0	:SN_116680003	:CM_oohwuc			and
:CM_AandEAttendanceEnd	0	:CM_hasCareSetting	:CM_AccidentAndEmergencySetting			and
:CM_AandEAttendanceEnd	0	:CM_isProcess	:CM_Discharge			and
:CM_AandEAttendanceEnd	0	:SN_116680003	:DM_AandEEncounterEntry			and
:CM_AandEAttendanceEnd	0	:SN_116680003	:DM_HospitalDischEntry			and
:CM_AccidentAndEmergencySetting	0	:SN_116680003	:CM_Hospital			and
:CM_ActiveInactive	0	:SN_116680003	:CM_ModelComponentStatus			and
:CM_ActiveStatus	0	:SN_116680003	:CM_ActiveInactive			and
:CM_AdmBabyRelated	0	:SN_116680003	:CM_AdmissionMethod			and
:CM_AdmClassDayCase	0	:SN_116680003	:CM_AdmissionPatientClass			and
:CM_AdmClassMotherBabyDelivery	0	:SN_116680003	:CM_AdmissionPatientClass			and
:CM_AdmClassOrdinary	0	:SN_116680003	:CM_AdmissionPatientClass			and
:CM_AdmClassRegularDay	0	:SN_116680003	:CM_AdmissionPatientClass			and
:CM_AdmClassRegularNight	0	:SN_116680003	:CM_AdmissionPatientClass			and
:CM_AdmMetBBhok	0	:SN_116680003	:CM_AdmMetEmergency			and
:CM_AdmMetBedBureau	0	:SN_116680003	:CM_AdmMetEmergency			and
:CM_AdmMetBirthHere	0	:SN_116680003	:CM_AdmBabyRelated			and
:CM_AdmMetBirthOut	0	:SN_116680003	:CM_AdmBabyRelated			and
:CM_AdmMetBooked	0	:SN_116680003	:CM_AdmMetElective			and
:CM_AdmMetCasElsewhere	0	:SN_116680003	:CM_AdmMetEmergency			and
