iri	status	name	description	code	scheme
:CM_AEAttCat1	im:CM_ActiveStatus	First Accident and Emergency Attendance  in episode	First Accident and Emergency Attendance - the first in a series, or the only attendance, in a particular Accident and Emergency Episode CDS 1	CM_AEAttCat1	:CM_DiscoveryCode
:CM_AEAttCat2	im:CM_ActiveStatus	Subsequent planned A&E attendance at same department, and incident	Follow-up Accident and Emergency Attendance - planned: a subsequent planned attendance at the same department, and for the same incident as the first attendance CDS 2	CM_AEAttCat2	:CM_DiscoveryCode
:CM_AEAttCat3	im:CM_ActiveStatus	Subsequent unplanned A&E attendance at the same department and incident	Follow-up Accident and Emergency Attendance - unplanned: a subsequent unplanned attendance at the same department, and for the same incident as the first attendance CDS 3	CM_AEAttCat3	:CM_DiscoveryCode
:CM_AEAttNotAtt0	im:CM_ActiveStatus	Attended or not attended	An indication of whether an APPOINTMENT for a CARE CONTACT took place.	CM_AEAttNotAtt0	:CM_DiscoveryCode
:CM_AEAttendanceCat	im:CM_ActiveStatus	Accident and emergency attendance or follow up	Indicates whether the A&E attendance is first or a follow up	CM_AEAttendanceCat	:CM_DiscoveryCode
:CM_AEDepType1	im:CM_ActiveStatus	Consultant led A&E department with full facilities (department type)	Emergency departments are a CONSULTANT led 24 hour service with full resuscitation facilities and designated accommodation for the reception of accident and emergency PATIENTS CDS type 1	CM_AEDepType1	:CM_DiscoveryCode
:CM_AEDepType2	im:CM_ActiveStatus	Mono speciality A&E (department type)	Consultant led mono specialty accident and emergency service (e.g. ophthalmology, dental) with designated accommodation for the reception of PATIENTS CDS 2	CM_AEDepType2	:CM_DiscoveryCode
:CM_AEDepType3	im:CM_ActiveStatus	Minor injuries unit either Doctor or Nurse led (department type)	Other type of A&E/minor injury ACTIVITY with designated accommodation for the reception of accident and emergency PATIENTS. The department may be doctor led or NURSE led and treats at least minor injuries and illnesses and can be routinely accessed without APPOINTMENT. A SERVICE mainly or entirely APPOINTMENT based (for example a GP Practice or Out-Patient Clinic) is excluded even though it may treat a number of PATIENTS with minor illness or injury. Excludes NHS walk-in centres CDS 3	CM_AEDepType3	:CM_DiscoveryCode
:CM_AEDepType4	im:CM_ActiveStatus	NHS Walk in centre	NHS walk in centres CDS 4	CM_AEDepType4	:CM_DiscoveryCode
:CM_AandEAttendanceEnd	im:CM_ActiveStatus	Accident and emergency encounter discharge	End of the A&E attendance including transfer	CM_AandEAttendanceEnd	:CM_DiscoveryCode
:CM_AccidentAndEmergencySetting	im:CM_ActiveStatus	Accident and emergency (setting)	An A&E department or equivalent setting	CM_AccidentAndEmergencySetting	:CM_DiscoveryCode
:CM_ActiveInactive	im:CM_ActiveStatus	Activity status	A status that is in active or active	CM_ActiveInactive	:CM_DiscoveryCode
:CM_ActiveStatus	im:CM_ActiveStatus	Active status	The active-inactive status value is active	CM_ActiveStatus	:CM_DiscoveryCode
:CM_AdmBabyRelated	im:CM_ActiveStatus	Baby related admission (admission method)	Admission method relating to the admission of the baby i.e. the baby is the subject of the admission	CM_AdmBabyRelated	:CM_DiscoveryCode
:CM_AdmClassDayCase	im:CM_ActiveStatus	Day case admission	A PATIENT admitted electively during the course of a day with the intention of receiving care who does not require the use of a Hospital Bed  overnight and who returns home as scheduled. If this original intention is not fulfilled and the PATIENT stays overnight, such a PATIENT should be counted as an ordinary admission CDS type 2	CM_AdmClassDayCase	:CM_DiscoveryCode
:CM_AdmClassMotherBabyDelivery	im:CM_ActiveStatus	Mother and baby using delivery facilities only	Mother and baby using Delivery facilities only and not using a Hospital Bed in the Antenatal or Postnatal WARDS during the stay in hospital	CM_AdmClassMotherBabyDelivery	:CM_DiscoveryCode
:CM_AdmClassOrdinary	im:CM_ActiveStatus	Ordinary non elective admission	A PATIENT not admitted electively, and any PATIENT admitted electively with the expectation that they will remain in hospital for at least one night, including a PATIENT admitted with this intention who leaves hospital for any reason without staying overnight. A PATIENT admitted electively with the intent of not staying overnight, but who does not return home as scheduled, should be counted as an ordinary admission CDS 1	CM_AdmClassOrdinary	:CM_DiscoveryCode
:CM_AdmClassRegularDay	im:CM_ActiveStatus	Regular elective day admission	A PATIENT admitted electively during the day, as part of a planned series of regular admissions for an on-going regime of broadly similar treatment and who is discharged the same day. If the intention is not fulfilled and one of these admissions should involve a stay of at least 24 hours, such an admission should be classified as an ordinary admission. The series of regular admissions ends when the PATIENT no longer requires frequent admissions	CM_AdmClassRegularDay	:CM_DiscoveryCode
:CM_AdmClassRegularNight	im:CM_ActiveStatus	Regular elective night admission	A PATIENT admitted electively for the night, as part of a planned series of regular admissions for an on-going regime of broadly similar treatment and who is discharged in the morning. If the intention is not fulfilled and one of these admissions should involve a stay of at least 24 hours, such an admission should be classified as an ordinary admission. The series of regular admissions ends when the patient no longer requires frequent admissions	CM_AdmClassRegularNight	:CM_DiscoveryCode
