Child iri	Parent iri
:CM_AEAttCat1	:CM_AEAttendanceCat
:CM_AEAttCat2	:CM_AEAttendanceCat
:CM_AEAttCat3	:CM_AEAttendanceCat
:CM_AEAttNotAtt0	:CM_CareAdministration
:CM_AEAttendanceCat	:CM_CareAdministration
:CM_AEDepType1	:CM_AccidentAndEmergencySetting
:CM_AEDepType2	:CM_AccidentAndEmergencySetting
:CM_AEDepType3	:CM_AccidentAndEmergencySetting
:CM_AEDepType4	:CM_oohwuc
:CM_AandEAttendanceEnd	:DM_AandEEncounterEntry
:CM_AandEAttendanceEnd	:DM_HospitalDischEntry
:CM_AccidentAndEmergencySetting	:CM_Hospital
:CM_ActiveInactive	:CM_ModelComponentStatus
:CM_ActiveStatus	:CM_ActiveInactive
:CM_AdmBabyRelated	:CM_AdmissionMethod
:CM_AdmClassDayCase	:CM_AdmissionPatientClass
:CM_AdmClassMotherBabyDelivery	:CM_AdmissionPatientClass
:CM_AdmClassOrdinary	:CM_AdmissionPatientClass
:CM_AdmClassRegularDay	:CM_AdmissionPatientClass
:CM_AdmClassRegularNight	:CM_AdmissionPatientClass
:CM_AdmMetBBhok	:CM_AdmMetEmergency
:CM_AdmMetBedBureau	:CM_AdmMetEmergency
:CM_AdmMetBirthHere	:CM_AdmBabyRelated
:CM_AdmMetBirthOut	:CM_AdmBabyRelated
:CM_AdmMetBooked	:CM_AdmMetElective
:CM_AdmMetCasElsewhere	:CM_AdmMetEmergency
:CM_AdmMetCasSame	:CM_AdmMetEmergency
:CM_AdmMetConClin	:CM_AdmMetEmergency
:CM_AdmMetEMore	:CM_AdmMetEmergency
:CM_AdmMetElective	:CM_AdmissionMethod
:CM_AdmMetEmergency	:CM_AdmissionMethod
:CM_AdmMetGpDirect	:CM_AdmMetEmergency
:CM_AdmMetHosTran	:CM_AdmMetEmergency
:CM_AdmMetMatAP	:CM_AdmMetMaternity
:CM_AdmMetMatPP	:CM_AdmMetMaternity
:CM_AdmMetMaternity	:CM_AdmissionMethod
:CM_AdmMetMheCrisis	:CM_AdmMetEmergency
:CM_AdmMetPlanned	:CM_AdmMetElective
:CM_AdmMethWa	:CM_AdmMetElective
:CM_AdmNonETransfer	:CM_AdmissionMethod
:CM_AdminCat01	:CM_AdminCategory
:CM_AdminCat02	:CM_AdminCategory
:CM_AdminCat03	:CM_AdminCategory
:CM_AdminCat04	:CM_AdminCategory
:CM_AdminCategory	:CM_CareAdministration
:CM_AdministrativeEntry	:DM_EncounterEntry
:CM_Admission	:CM_CareAdministration
:CM_AdmissionMethod	:CM_CareAdministration
:CM_AdmissionPatientClass	:CM_CareAdministration
:CM_AdmissionSource	:CM_CareAdministration
:CM_AdultCriticalCareEncounter	:DM_CriticalCareEntry
:CM_AttNotAtt00	:CM_AttNotAttNot
:CM_AttNotAtt2	:CM_AttNotAttNot
:CM_AttNotAtt5	:CM_AttNotAttAtt
:CM_AttNotAtt6	:CM_AttNotAttAtt
:CM_AttNotAtt7	:CM_AttNotAttNot
:CM_AttNotAttAtt	:CM_AEAttNotAtt0
:CM_AttNotAttNot	:CM_AEAttNotAtt0
:CM_AttOpd1	:CM_AttOutcome0
:CM_AttOpd2	:CM_AttOutcome0
:CM_AttOpd3	:CM_AttOutcome0
:CM_AttOutcome0	:CM_CareAdministration
:CM_AttnotAtt3	:CM_DidNotAttend
:CM_AttnotAtt4	:CM_AttNotAttNot
:CM_BartCernerCode	:CM_CodeScheme
:CM_CTV3	:CM_CodeScheme
:CM_CancelHospEvent	:CM_CancelledEncounter
:CM_CancelledEncounter	:CM_AdministrativeEntry
:CM_CareAdministration	:CM_ValueTerminology
:CM_CareEventType	owl:topObjectProperty
:CM_CareSetting	:CM_ValueTerminology
:CM_CcuOther91	:CM_CriticalCareUnit
:CM_CcufAdult	:CM_CriticalCareUnit
:CM_CcufAdult1	:CM_CcufAdult
:CM_CcufAdult10	:CM_CcufAdult
:CM_CcufAdult11	:CM_CcufAdult
:CM_CcufAdult2	:CM_CcufAdult
:CM_CcufAdult3	:CM_CcufAdult
:CM_CcufAdult5	:CM_CcufAdult
:CM_CcufAdult8	:CM_CcufAdult
:CM_CcufAdult9	:CM_CcufAdult
:CM_CcufChild	:CM_CriticalCareUnit
:CM_CcufChild16	:CM_CcufChild
:CM_CcufChild17	:CM_CcufChild
:CM_CcufChild18	:CM_CcufChild
:CM_CcufChild19	:CM_CcufChild
:CM_CcufChild4	:CM_CcufChild
:CM_CcufChild92	:CM_CcufChild
:CM_CcufNeonate	:CM_CriticalCareUnit
:CM_CcufNeonate13	:CM_CcufNeonate
:CM_CcufNeonate14	:CM_CcufNeonate
:CM_CcufNeonate15	:CM_CcufNeonate
:CM_Ccufadult12	:CM_CcufAdult
:CM_Ccufadult6	:CM_CcufAdult
:CM_Ccufadult7	:CM_CcufAdult
:CM_Ccufadult90	:CM_CcufAdult
:CM_ClinicEncounter	:CM_OnPremiseEncounter
:CM_Clinic_or_Health_Centre	:CM_OnPremises
:CM_CodeScheme	:CM_ModellingConcept
:CM_Computer	:CM_EncounterDevice
:CM_ComputerEncounter	:CM_EncounterUsingDevice
:CM_Consultation	:DM_EncounterEntry
:CM_CoreSnapshot	:CM_ModelDocumentPurpose
:CM_CreateEntry	:CM_CrudOperation
:CM_CriticalCareAdmissionSource	:CM_AdmissionSource
:CM_CriticalCareSource1	:CM_CriticalCareAdmissionSource
:CM_CriticalCareSource2	:CM_CriticalCareAdmissionSource
:CM_CriticalCareSource3	:CM_CriticalCareAdmissionSource
:CM_CriticalCareSource4	:CM_CriticalCareAdmissionSource
:CM_CriticalCareSource5	:CM_CriticalCareAdmissionSource
:CM_CriticalCareUnit	:CM_Hospital
:CM_CrudOperation	:DM_ProvenanceActivity
:CM_DISC_5081	owl:topObjectProperty
:CM_DataTransform	:DM_ProvenanceActivity
:CM_Day_case	:CM_PersonCareTypeHosp
:CM_DefinitionalStatus	:CM_ModellingConcept
:CM_DeleteEntry	:CM_CrudOperation
:CM_DeltaUpdate	:CM_ModelDocumentPurpose
:CM_DidNotAttend	:CM_AttNotAttNot
:CM_DidNotAttendEncounter	:CM_AdministrativeEntry
:CM_DisDest0	:CM_CareAdministration
:CM_DisDest30	:CM_DisDest0
:CM_DisDest38	:CM_DisDest0
:CM_DisDest48	:CM_DisDest0
:CM_DisDest49	:CM_DisDest0
:CM_DisDest50	:CM_DisDest0
:CM_DisDest51	:CM_DisDest0
:CM_DisDest79	:CM_DisDest0
:CM_DisDest84	:CM_DisDest0
:CM_DisMethod0	:CM_CareAdministration
:CM_DisMethod1	:CM_DisMethod0
:CM_DisMethod2	:CM_DisMethod0
:CM_DisMethod3	:CM_DisMethod0
:CM_DisMethod4	:CM_DisMethod0
:CM_DisMethod5	:CM_DisMethod0
:CM_DisMethod6	:CM_DisMethod2
:CM_DisMethod7	:CM_DisMethod2
:CM_Discharge	:CM_CareAdministration
:CM_DiscoveryCode	:CM_CodeScheme
:CM_DraftStatus	:CM_ActiveInactive
:CM_EMISLocal	:CM_CodeScheme
:CM_EmailConsultation	:CM_EncounterUsingDevice
:CM_EncounterDevice	:CM_ValueTerminology
:CM_EncounterUsingDevice	:CM_Consultation
:CM_Encowincu	:CM_OnPremiseEncounter
:CM_EndHospEvent	:CM_AdministrativeEntry
:CM_EndHospEvent	:CM_HospitalEncounter
:CM_Field	:CM_CareSetting
:CM_FileDownloaded	:DM_ProvenanceActivity
:CM_FileToDirectory	:DM_ProvenanceActivity
:CM_FilingDocEncounter	:CM_AdministrativeEntry
:CM_GConsultationGroup	:CM_ValueTerminology
:CM_GPEmergencyPatient	:CM_PersonCareTypeGP
:CM_GPImNecPatient	:CM_PersonCareTypeGP
:CM_GPRegularPatient	:CM_PersonCareTypeGP
:CM_GPSurgeryConsultation	:CM_OnPremiseEncounter
:CM_GPTemporaryResident	:CM_PersonCareTypeGP
:CM_General_Practice_surgery	:CM_OnPremises
:CM_Heading	:CM_ValueTerminology
:CM_Home	:CM_CareSetting
:CM_HomeVisit	:CM_Consultation
:CM_HomertonCernerCode	:CM_CodeScheme
:CM_Hospital	:CM_OnPremises
:CM_HospitalDayCase	:CM_HospitalEncounter
:CM_HospitalDayCaseDischarge	:CM_HospitalDayCase
:CM_HospitalDayCaseDischarge	:DM_HospitalDischEntry
:CM_HospitalEncounter	:DM_EncounterEntry
:CM_HospitalInpAdmitEncounter	:DM_HospitalAdmitEntry
:CM_HospitalInpDischEncounter	:DM_HospitalDischEntry
:CM_HospitalPreadmission	:CM_HospitalEncounter
:CM_ICD10	:CM_CodeScheme
:CM_Initial	:SN_308913005
:CM_InitialAssessment	:SN_386053000
:CM_Inpatient	:CM_PersonCareTypeHosp
:CM_MailToPatientEncounter	:CM_AdministrativeEntry
:CM_MaternityAdmission	:DM_HospitalAdmitEntry
:CM_MaternityDischarge	:DM_HospitalDischEntry
:CM_MaternityPatient	:CM_PersonCareTypeHosp
:CM_ModelComponentStatus	:CM_ModellingConcept
:CM_ModelDeltaUpdate	:CM_ModelDocumentPurpose
:CM_ModelDocumentInfo	:CM_ModellingConcept
:CM_ModelDocumentPurpose	:CM_ModelDocumentInfo
:CM_ModellingConcept	:CM_ValueTerminology
:CM_NecessaryAndSufficient	:CM_DefinitionalStatus
:CM_NecessaryButInsufficient	:CM_DefinitionalStatus
:CM_NeonatalCriticalCareEncounter	:DM_CriticalCareEntry
:CM_NightVisit	:CM_HomeVisit
:CM_NoteEncounter	:CM_AdministrativeEntry
:CM_OPCS4	:CM_CodeScheme
:CM_ObservationType	:CM_ValueTerminology
:CM_OnPremiseEncounter	:CM_Consultation
:CM_OnPremises	:CM_CareSetting
:CM_OnWaitingList	:CM_PersonCareTypeHosp
:CM_Outpatient	:CM_PersonCareTypeHosp
:CM_OutpatientDischarge	:DM_HospitalDischEntry
:CM_PaediatricCriticalCareEncounter	:DM_CriticalCareEntry
:CM_Patient_and_health_professional	:CM_GConsultationGroup
:CM_PersonCareType	:CM_CareAdministration
:CM_PersonCareTypeGP	:CM_PersonCareType
:CM_PersonCareTypeHosp	:CM_PersonCareType
:CM_Pre-admission	:CM_CareAdministration
:CM_PreDsicharge	:CM_CareAdministration
:CM_Provenance_SystemOp	:DM_ProvenanceActivity
:CM_QueryCancelled	:CM_ScheduledActivity
:CM_QueryCompleted	:CM_ScheduledActivity
:CM_QueryScheduled	:CM_ScheduledActivity
:CM_QueryStarted	:CM_ScheduledActivity
:CM_Read2	:CM_CodeScheme
:CM_ReferenceDocument	:CM_ModelDocumentPurpose
:CM_ScheduledActivity	:CM_Provenance_SystemOp
:CM_Snomed-CT	:CM_CodeScheme
:CM_SrcAdmA1	:CM_AdmissionSource
:CM_SrcAdmA2	:CM_AdmissionSource
:CM_SrcAdmA2	:CM_DisDest0
:CM_SrcAdmA3	:CM_AdmissionSource
:CM_SrcAdmA3	:CM_DisDest0
:CM_SrcAdmA4	:CM_AdmissionSource
:CM_SrcAdmA4	:CM_DisDest0
:CM_SrcAdmA5	:CM_AdmissionSource
:CM_SrcAdmA5	:CM_DisDest0
:CM_SrcAdmA6	:CM_AdmissionSource
:CM_SrcAdmA6	:CM_DisDest0
:CM_SrcAdmA7	:CM_AdmissionSource
:CM_SrcAdmA8	:CM_AdmissionSource
:CM_SrcAdmA8	:CM_DisDest0
:CM_SrcAdmA9	:CM_AdmissionSource
:CM_SrcAdmA9	:CM_DisDest0
:CM_SrcAdmCo	:CM_DisDest0
:CM_SrcAdmCo	:CM_SrcAdmPePoCo
:CM_SrcAdmPSyHosp	:CM_AdmissionSource
:CM_SrcAdmPe	:CM_DisDest38
:CM_SrcAdmPe	:CM_SrcAdmPePoCo
:CM_SrcAdmPePoCo	:CM_AdmissionSource
:CM_SrcAdmPo	:CM_DisDest38
:CM_SrcAdmPo	:CM_SrcAdmPePoCo
:CM_SrcAdmTempR	:CM_AdmissionSource
:CM_SrcAdmTempR	:CM_DisDest0
:CM_SrcAdmUsual	:CM_AdmissionSource
:CM_SrcAdmUsual	:CM_DisDest0
:CM_SrcAsmA10	:CM_AdmissionSource
:CM_SrcAsmA10	:CM_DisDest0
:CM_SurgeryPodEncounter	:CM_EncounterUsingDevice
:CM_Surgery_pod	:CM_EncounterDevice
:CM_TPPLocalCode	:CM_CodeScheme
:CM_TeamMeeting	:CM_Consultation
:CM_TelephoneConsultation	:CM_EncounterUsingDevice
:CM_TelephoneTriage	:CM_TelephoneConsultation
:CM_TelephoneTriage	:CM_TriageAssessmentEncounter
:CM_TermBasedCode	:CM_CodeScheme
:CM_TextMessageEncounter	:CM_EncounterUsingDevice
:CM_ThirdPartyConsultation	:CM_Consultation
:CM_ThirdPartyTelcon	:CM_TelephoneConsultation
:CM_ThirdPartyTelcon	:CM_ThirdPartyConsultation
:CM_Transfer	:CM_AdministrativeEntry
:CM_TransferCareClassification	:CM_Transfer
:CM_TransferInpOp	:CM_Transfer
:CM_TransferOpInp	:CM_Transfer
:CM_TransferWl	:CM_Transfer
:CM_TransferWlInpOp	:CM_TransferInpOp
:CM_TransferWlInpOp	:CM_TransferWl
:CM_TransferWlOpInp	:CM_TransferOpInp
